$$SOE
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000, 9.713074009266448E+07, -4.625096454343791E+08, -8.243606012480706E+06,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000, 1.062719628641244E+08, -4.594013542818236E+08, -8.754579888907611E+06,
2459594.500000000, A.D. 2022-Jan-15 00:00:00.0000, 1.153640428943739E+08, -4.560804194775666E+08, -9.261501835232019E+06,
2459601.500000000, A.D. 2022-Jan-22 00:00:00.0000, 1.244024098901477E+08, -4.525469234482296E+08, -9.764108040919036E+06,
2459608.500000000, A.D. 2022-Jan-29 00:00:00.0000, 1.333824496533446E+08, -4.488010243785170E+08, -1.026213245776290E+07,
2459615.500000000, A.D. 2022-Feb-05 00:00:00.0000, 1.422995018887516E+08, -4.448429594226634E+08, -1.075530666733262E+07,
2459622.500000000, A.D. 2022-Feb-12 00:00:00.0000, 1.511488602626985E+08, -4.406730490788802E+08, -1.124336003854430E+07,
2459629.500000000, A.D. 2022-Feb-19 00:00:00.0000, 1.599257733946284E+08, -4.362917003592982E+08, -1.172601986071846E+07,
2459636.500000000, A.D. 2022-Feb-26 00:00:00.0000, 1.686254454768241E+08, -4.316994094795344E+08, -1.220301139145914E+07,
2459643.500000000, A.D. 2022-Mar-05 00:00:00.0000, 1.772430366883860E+08, -4.268967646852832E+08, -1.267405788501358E+07,
2459650.500000000, A.D. 2022-Mar-12 00:00:00.0000, 1.857736636324305E+08, -4.218844492817531E+08, -1.313888062752557E+07,
2459657.500000000, A.D. 2022-Mar-19 00:00:00.0000, 1.942123998749694E+08, -4.166632448375204E+08, -1.359719898415259E+07,
2459664.500000000, A.D. 2022-Mar-26 00:00:00.0000, 2.025542766156646E+08, -4.112340345676730E+08, -1.404873046136606E+07,
2459671.500000000, A.D. 2022-Apr-02 00:00:00.0000, 2.107942835668530E+08, -4.055978069505070E+08, -1.449319079601213E+07,
2459678.500000000, A.D. 2022-Apr-09 00:00:00.0000, 2.189273703224738E+08, -3.997556595715975E+08, -1.493029409644553E+07,
2459685.500000000, A.D. 2022-Apr-16 00:00:00.0000, 2.269484485840134E+08, -3.937088025405766E+08, -1.535975301571760E+07,
